recipe,temp_C,zmin@cycle9_nm,h1@cycle3_nm,h1@cycle5_nm,h1@cycle9_nm,d1@cycle3_nm,d1@cycle5_nm,d1@cycle9_nm,w@cycle1_nm,w@cycle3_nm,w@cycle5_nm,w@cycle9_nm
B184,-10,4076.84228515625,464.2586364746094,343.7095947265625,439.5768127441406,107.03634643554688,85.09568786621094,58.632591247558594,666.6682739257812,625.1192626953125,597.3372192382812,625.1681518554688
B185,-10,4068.250732421875,455.223388671875,348.13031005859375,458.8582763671875,159.88417053222656,102.79744720458984,68.71736907958984,675.893310546875,650.0462036132812,628.0054931640625,654.3878784179688
B186,-10,3447.442626953125,403.11669921875,296.9898681640625,338.1600036621094,80.74876403808594,63.30268096923828,43.126590728759766,571.509033203125,499.45062255859375,476.4964904785156,457.0575866699219
B187,-10,3970.551513671875,81.78060913085938,144.99276733398438,125.02932739257812,96.80221557617188,70.12271881103516,48.12728500366211,647.5939331054688,612.9889526367188,570.753662109375,558.6516723632812
B188,-10,3496.07080078125,162.49510192871094,214.74423217773438,231.6754150390625,115.91800689697266,81.04602813720703,59.234130859375,613.9654541015625,587.5516967773438,565.1893310546875,558.1607666015625
B189,-10,4192.0615234375,453.12249755859375,346.1793212890625,447.6580505371094,144.02789306640625,99.83031463623047,72.87470245361328,655.4116821289062,622.8917846679688,599.790283203125,629.8595581054688
B190,-10,3883.505859375,463.27008056640625,329.2796630859375,354.71490478515625,71.03981018066406,67.10417938232422,55.426692962646484,663.6806640625,579.42724609375,544.1273803710938,525.3229370117188
B191,-10,3771.523681640625,403.37628173828125,349.8390808105469,427.73248291015625,123.04476928710938,95.10651397705078,73.50656127929688,653.4532470703125,650.767578125,623.1563110351562,631.5488891601562
B192,-10,3778.1513671875,470.4277648925781,360.8701171875,477.9000244140625,157.63766479492188,112.54354095458984,84.84656524658203,654.8724975585938,635.9279174804688,618.2171020507812,652.7393188476562
B193,-10,4003.08984375,455.3238220214844,340.9398193359375,382.3969421386719,104.68588256835938,77.17485809326172,59.91981506347656,680.1766967773438,627.0562744140625,589.0558471679688,593.0361328125
B194,-10,3164.376708984375,95.12521362304688,158.7705078125,157.451416015625,101.19722747802734,73.07817077636719,50.76976013183594,591.9948120117188,569.8880004882812,554.8130493164062,540.211181640625
B195,-10,2726.858154296875,160.0282440185547,226.00880432128906,237.48165893554688,40.13587951660156,37.97297286987305,27.60527229309082,474.1689147949219,400.32379150390625,373.1972351074219,303.7264404296875
B196,-10,3594.11572265625,285.0484924316406,307.9317321777344,375.635498046875,117.64672088623047,92.85816192626953,74.80574035644531,644.6156616210938,642.2427978515625,625.0227661132812,637.715576171875
B197,-10,3933.63623046875,216.86968994140625,301.94866943359375,313.6360778808594,135.94349670410156,88.68344116210938,63.6671257019043,655.1286010742188,614.164306640625,593.7398071289062,609.2525634765625
B198,-10,3015.651611328125,300.8638610839844,247.6110076904297,340.0858459472656,72.29590606689453,52.30255889892578,28.48808479309082,454.9017639160156,429.9716491699219,421.84405517578125,408.64666748046875
B199,-10,3593.577880859375,93.5948486328125,135.46780395507812,177.96450805664062,161.84625244140625,126.23192596435547,102.99471282958984,650.60400390625,644.8078002929688,631.946533203125,647.7672119140625
B200,-10,3072.381103515625,323.0956115722656,261.5159606933594,345.6915283203125,86.66588592529297,60.86420822143555,39.71919250488281,513.1648559570312,481.56353759765625,464.9753723144531,466.4912414550781
B201,-10,3004.86279296875,314.90972900390625,260.8327331542969,267.6402282714844,45.18227005004883,39.71108627319336,30.13078498840332,448.0750427246094,411.4828186035156,396.4320373535156,360.4723815917969
B202,-10,3783.166015625,393.91802978515625,308.8310241699219,406.34674072265625,118.07611846923828,79.06134796142578,52.52787780761719,590.6728515625,553.119384765625,535.296630859375,556.1427612304688
B203,-10,3858.8359375,410.4299621582031,316.2159118652344,389.1636657714844,120.61045837402344,83.92103576660156,58.818302154541016,618.3010864257812,568.2334594726562,535.4644165039062,539.5264892578125
B204,-10,3815.948486328125,393.3246765136719,307.70269775390625,409.0386047363281,108.1565170288086,73.05305480957031,48.64744567871094,590.0341186523438,550.080322265625,530.0756225585938,553.9380493164062
B205,-10,1719.3807373046875,151.11697387695312,153.7417755126953,184.24777221679688,42.13224411010742,35.23712921142578,20.696338653564453,323.383056640625,304.51177978515625,290.29541015625,232.60435485839844
B206,-10,2294.37255859375,250.6298370361328,218.16246032714844,235.97518920898438,53.79335021972656,43.368839263916016,30.274953842163086,397.65716552734375,372.64556884765625,357.0418395996094,305.7577209472656
B207,-10,2787.0693359375,286.783935546875,240.8237762451172,321.5657043457031,80.26525115966797,57.42554473876953,37.2631950378418,481.04986572265625,458.1158142089844,444.2450256347656,439.29296875
B208,-10,2650.6455078125,361.8816223144531,227.43397521972656,256.06951904296875,32.537235260009766,53.09644317626953,35.73371124267578,462.3896789550781,404.9608459472656,370.6924133300781,313.31787109375
B209,-10,2990.872802734375,313.8266296386719,255.2882080078125,337.9941711425781,88.28695678710938,61.95795440673828,38.34054183959961,498.6484069824219,463.15057373046875,445.85791015625,437.6030578613281
B210,-10,2923.2734375,301.83795166015625,248.77102661132812,334.5526123046875,82.4986343383789,57.51765441894531,37.082244873046875,491.11737060546875,462.0959167480469,445.2702331542969,442.4776306152344
B211,-10,2293.494384765625,262.2550048828125,201.230224609375,249.93943786621094,41.272987365722656,44.81838607788086,27.4675235748291,404.56591796875,373.4114990234375,354.0129699707031,316.56292724609375
B212,-10,3663.542236328125,379.74798583984375,299.814208984375,402.1003112792969,107.71569061279297,72.72395324707031,48.74713897705078,585.1865844726562,550.6924438476562,534.5353393554688,556.5919799804688
B213,-10,2670.570068359375,273.78570556640625,231.7526092529297,312.32745361328125,78.21189880371094,55.8204345703125,34.76931381225586,475.8527526855469,453.5148010253906,438.7967529296875,433.5347900390625
B214,-10,2548.984619140625,254.74766540527344,218.08485412597656,284.3220520019531,70.61647033691406,50.92222213745117,31.85642433166504,440.4974365234375,416.78802490234375,401.505615234375,381.8003234863281
B215,-10,3477.502197265625,373.03631591796875,296.82562255859375,380.2280578613281,83.78047180175781,61.865936279296875,43.833229064941406,495.1290588378906,469.14361572265625,464.1732482910156,462.5094299316406
B216,-10,2274.84326171875,228.32164001464844,203.95005798339844,275.6794128417969,58.372554779052734,43.140281677246094,26.548173904418945,425.70611572265625,404.8790588378906,394.6125793457031,378.6411437988281
B217,-10,3540.28369140625,379.7596740722656,299.35137939453125,357.7401428222656,127.25931549072266,91.10436248779297,61.74146270751953,594.7796020507812,563.763427734375,533.55078125,526.093994140625
B218,-10,2475.67138671875,345.3089599609375,213.97705078125,242.87713623046875,32.22502899169922,48.85842514038086,30.866357803344727,421.97296142578125,375.8900451660156,349.2154846191406,302.2268981933594
B219,-10,3073.550048828125,347.7520751953125,263.28192138671875,310.6904296875,76.8814697265625,72.2374038696289,46.6058464050293,538.2929077148438,503.428466796875,477.64813232421875,462.9842529296875
B220,-10,3262.45703125,364.8121337890625,270.92181396484375,318.3309631347656,65.2308349609375,65.35890197753906,40.834075927734375,513.1445922851562,462.4686584472656,430.60284423828125,401.96954345703125
B221,-10,3017.950927734375,332.6519775390625,269.9434509277344,347.00421142578125,69.87971496582031,53.59843444824219,35.628631591796875,460.1896667480469,440.1305236816406,431.5074157714844,420.2985534667969
B222,-10,3743.75927734375,382.8006591796875,297.5634765625,401.7011413574219,108.24505615234375,72.18363189697266,46.98908233642578,570.40185546875,531.8449096679688,520.3228149414062,542.3736572265625
B223,-10,3880.986572265625,398.6583557128906,310.5558166503906,420.6324157714844,113.50345611572266,75.58480834960938,48.69490051269531,605.756591796875,556.8186645507812,541.5358276367188,572.0453491210938
B224,-10,3298.72021484375,364.4009094238281,286.41497802734375,330.9268798828125,111.29618835449219,80.29489135742188,53.71514129638672,568.0817260742188,526.0709228515625,492.4158020019531,470.0212097167969
B225,-10,2830.341064453125,304.7988586425781,251.7577362060547,331.2362365722656,68.35694885253906,52.18675231933594,34.37871551513672,439.9104919433594,426.71484375,421.48431396484375,411.5005187988281
B226,-10,3258.638427734375,363.9814453125,275.3989562988281,319.22393798828125,75.7820816040039,68.82927703857422,44.00676727294922,525.7531127929688,481.3982238769531,451.3625793457031,431.2667541503906
B227,-10,3425.970458984375,354.4410705566406,284.993408203125,375.4875183105469,113.9391860961914,77.53437042236328,51.50251770019531,562.5025024414062,524.7247924804688,509.9239807128906,520.0928344726562
B228,-10,3249.112548828125,334.5107421875,268.4012756347656,361.0414733886719,94.15741729736328,64.57604217529297,41.92414093017578,523.83837890625,492.9273986816406,474.9045104980469,478.1685485839844
B229,-10,4103.74365234375,431.9317321777344,329.67327880859375,440.94122314453125,130.96206665039062,87.34632873535156,55.724979400634766,633.360595703125,604.262939453125,584.6240234375,615.5928344726562
