recipe,temp_C,family,cycle,cycle_value,pred_nm
B182,-10,zmin,1,1.0,0.0
B182,-10,zmin,2,2.0,0.0
B182,-10,zmin,3,3.0,0.0
B182,-10,zmin,4,4.0,0.0
B182,-10,zmin,5,5.0,186.02879333496094
B182,-10,zmin,6,6.0,461.0719909667969
B182,-10,zmin,7,7.0,721.3526000976562
B182,-10,zmin,8,8.0,975.1815795898438
B182,-10,zmin,9,9.0,2592.636962890625
B183,-10,zmin,1,1.0,0.0
B183,-10,zmin,2,2.0,0.0
B183,-10,zmin,3,3.0,0.0
B183,-10,zmin,4,4.0,0.0
B183,-10,zmin,5,5.0,0.0
B183,-10,zmin,6,6.0,0.0
B183,-10,zmin,7,7.0,197.6797332763672
B183,-10,zmin,8,8.0,415.3233947753906
B183,-10,zmin,9,9.0,2286.07177734375
B184,-10,zmin,1,1.0,0.0
B184,-10,zmin,2,2.0,423.9443054199219
B184,-10,zmin,3,3.0,1097.8319091796875
B184,-10,zmin,4,4.0,1688.95458984375
B184,-10,zmin,5,5.0,2213.771240234375
B184,-10,zmin,6,6.0,2700.01220703125
B184,-10,zmin,7,7.0,3208.583251953125
B184,-10,zmin,8,8.0,3699.771240234375
B184,-10,zmin,9,9.0,4076.84228515625
B185,-10,zmin,1,1.0,0.0
B185,-10,zmin,2,2.0,624.013427734375
B185,-10,zmin,3,3.0,1351.1820068359375
B185,-10,zmin,4,4.0,1961.529052734375
B185,-10,zmin,5,5.0,2472.427001953125
B185,-10,zmin,6,6.0,2938.498046875
B185,-10,zmin,7,7.0,3345.134033203125
B185,-10,zmin,8,8.0,3722.47607421875
B185,-10,zmin,9,9.0,4068.250732421875
B186,-10,zmin,1,1.0,0.0
B186,-10,zmin,2,2.0,0.0
B186,-10,zmin,3,3.0,328.200927734375
B186,-10,zmin,4,4.0,853.3551635742188
B186,-10,zmin,5,5.0,1327.56787109375
B186,-10,zmin,6,6.0,1734.55859375
B186,-10,zmin,7,7.0,2123.12841796875
B186,-10,zmin,8,8.0,2508.085693359375
B186,-10,zmin,9,9.0,3447.442626953125
B187,-10,zmin,1,1.0,46.05860900878906
B187,-10,zmin,2,2.0,851.4675903320312
B187,-10,zmin,3,3.0,1519.035888671875
B187,-10,zmin,4,4.0,2046.719970703125
B187,-10,zmin,5,5.0,2471.664794921875
B187,-10,zmin,6,6.0,2837.73193359375
B187,-10,zmin,7,7.0,3199.435546875
B187,-10,zmin,8,8.0,3554.582763671875
